Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C23, C28, C31, C5, C7, C8, C9",C_0402,20,0.1u,C307331
"C2, C21, C24, C25, C26, C27, C29, C3, C30, C4, C6",C_0402,11,2.2u,C170151
D1,LED_LiteOn_LTST-C19HE1WT,1,LTST-C19HE1WT,C458749
"D2, D3",0402,2,20V,C145312
F1,0603,1,Fuse_Small,C210357
FB1,R_0402,1,BLM15AX601SN1D,C76886
J1,USB_C_Receptacle_USB4105,1,USB_C_Receptacle_USB2.0,C167321
Q1,SOT-563,1,NTZD3155C,C895156
"R1, R13, R15, R28",R_0402,4,17.4k,C26957
"R10, R18, R22, R23, R24, R26",R_0402,6,1Meg,C138033
"R11, R12, R14, R16, R19, R21, R27, R9",R_0402,8,47k,C25792
"R17, R2, R31, R5, R6, R7",R_0402,6,1k,C11702
"R20, R29, R3, R4, R8",R_0402,5,5.1k,C25905
R25,R_0402,1,15k,C25756
R30,R_0402,1,0Ω,C17168
"R32, R33",R_0603,2,3.3kΩ 1608,C22978
"SW1, SW2",SW_SPST_TS-1145A,2,TS-1145A-C-B,C465998
"U1, U10, U11, U2, U8, U9",X2-DFN1410-6,6,74LVC1T45FZ4-7,C150482
"U12, U13, U14",DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm_PullBack,3,NCP133AMXADJTCG,C457672
U15,SOIC-8_3.9x4.9mm_P1.27mm,1,FM24V02A-GTR,C382041
U3,USON-8-3x2mm-EP,1,IS25WP016D-JULE-TR,C2976734
U4,DFN-16-1EP_1.6x4mm_P0.5mm,1,NUF8401MNT4G,C895158
U5,PinHeader_2x05_FTSH-105-01-L-DV-K,1,CortexDebug,C448647
U6,RP2040-QFN-56,1,RP2040,C2040
U7,SOT-563,1,NUF2042XV6T1G,C90707
X1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12 MHz,C255991
