Designator,Mid X,Mid Y,Rotation,Layer
C1,27.9,6.3,180.0,top
C10,28.3,4.5,180.0,top
C11,38.6,2.4,0.0,top
C12,38.6,4.9,0.0,top
C13,29.9,10.5,90.0,top
C14,40.7,7.2,90.0,top
C15,20.8,6.5,90.0,top
C16,24.0,0.7,0.0,top
C17,26.0,3.8,0.0,top
C18,26.0,7.2,0.0,top
C19,26.0,2.4,0.0,top
C2,22.1,12.35,270.0,top
C20,26.0,4.8,0.0,top
C21,21.45,10.45,90.0,top
C22,33.4,0.8,180.0,top
C23,39.2,12.7,270.0,top
C24,25.225,12.175,180.0,top
C25,24.7,9.35,0.0,top
C26,19.4,12.3,270.0,top
C27,20.6,9.45,90.0,top
C28,38.3,12.7,270.0,top
C29,29.9,12.675,90.0,top
C3,31.7,0.8,180.0,top
C30,28.1,12.675,90.0,top
C31,48.7,3.75,0.0,bottom
C4,38.6,3.5,0.0,top
C5,28.1,1.1,90.0,top
C6,40.3,3.3,0.0,top
C7,38.6,5.8,0.0,top
C8,27.2,1.1,90.0,top
C9,28.3,5.4,180.0,top
D1,40.5,1.5,180.0,top
D2,26.4,13.1,180.0,top
D3,19.1,8.85,0.0,top
F1,40.05,11.15,180.0,top
FB1,29.0,11.475,270.0,top
J1,45.5,7.0,90.0,top
Q1,15.1,12.3,270.0,top
R1,29.0,1.1,90.0,top
R10,13.0,10.9,180.0,top
R11,18.425,7.0,180.0,top
R12,23.05,9.95,180.0,top
R13,23.05,10.8,180.0,top
R14,18.9,10.0,0.0,top
R15,18.5,12.3,270.0,top
R16,18.9,10.9,0.0,top
R17,26.4,8.9,270.0,top
R18,11.45,9.95,0.0,top
R19,13.3,12.3,270.0,top
R2,40.7,9.4,90.0,top
R20,15.2,10.9,0.0,top
R21,26.75,10.7,270.0,top
R22,18.7,5.9,180.0,top
R23,10.9,12.2,270.0,top
R24,11.25,10.9,180.0,top
R25,27.65,10.7,270.0,top
R26,19.65,7.45,270.0,top
R27,21.85,8.65,180.0,top
R28,42.3,12.75,0.0,top
R29,40.6,12.75,0.0,top
R3,43.15,1.25,180.0,top
R30,7.7,7.0,180.0,bottom
R31,9.9,12.2,270.0,top
R32,33.925,8.475,90.0,bottom
R33,35.575,8.475,90.0,bottom
R4,45.15,1.25,180.0,top
R5,36.9,0.9,180.0,top
R6,35.1,0.8,180.0,top
R7,38.6,1.5,180.0,top
R8,26.3,1.1,90.0,top
R9,18.425,7.9,0.0,top
SW1,33.9,12.0,0.0,top
SW2,8.4,7.0,90.0,top
TH3,8.0,1.5,0.0,top
TH4,49.0,1.0,0.0,top
U1,22.2,1.9,90.0,top
U10,22.2,6.9,90.0,top
U11,24.2,7.9,90.0,top
U12,25.25,10.825,0.0,top
U13,20.85,12.3,0.0,top
U14,23.365,12.3,0.0,top
U15,45.95,7.0,180.0,bottom
U2,24.2,2.9,90.0,top
U3,39.0,8.3,270.0,top
U4,19.4,3.2,90.0,top
U5,14.2,6.0,270.0,top
U6,33.4,5.6,270.0,top
U7,40.7,4.9,90.0,top
U8,22.2,4.4,90.0,top
U9,24.2,5.4,90.0,top
X1,28.1,8.2,270.0,top
